 ST22 short dumps,,
LA table -SapNetweaver_ShortDumps_CL( schema names),Description,
Application_Componen_s,"The high-level functional area in SAP where the issue occurred (e.g., FI, MM, SD). Helps categorize the error by business domain.",
Component_s,"This is the SAP application component (technical classification) like LO-VCH, PPM-CF, BC-CST-EQ.it's the official SAP component hierarchy used in OSS/support. A more specific sub-area within the application component. Provides finer classification of where the error belongs.",
Development_Class_s,"Also known as package. Indicates the technical grouping of the object (program/module) in the SAP repository. Useful for identifying ownership or transport grouping.
ABAP package (e.g., SENQ, INM_CPPM, VCH_HL_CORE). Indicates ownership and transport layer.",
E2E_DATE_s,Date when the dump/error occurred.,
E2E_HOST_s,The server/host name where the error (dump) was triggered.,
E2E_SEVERITY_s,Represents the error type or severity indicator of the Error,
E2E_TIME_s,Time when the dump/error occurred (paired with E2E_DATE).,
E2E_USER_s,The SAP user ID under which the program was running when the dump occurred.,
Error_Short_Text_s,A brief description of the error (similar to the short text seen in ST22 dumps). Gives a quick idea of what went wrong.,
Exception_s,The ABAP exception class or name that was raised (if applicable). Useful for debugging object-oriented errors.Empty for classic runtime errors like RFC or TIME_OUT.,
Program_s,"The ABAP program or report in which the dump occurred. (e.g., SAPLSENA, SAPLRPM_FICO_INT_DATA, CL_VCH_HL_ENGINE_FACTORY======CP).",
Runtime_Error_s,"ABAP runtime error ID (e.g., UNCAUGHT_EXCEPTION, CALL_FUNCTION_OPEN_ERROR, TIME_OUT). This matches ST22 dump category exactly.This is key for root cause analysis",
serverTimestamp_t,The exact timestamp of the dump in UTC format. Useful for cross-system correlation and logs comparison.,
Transaction_ID_s,Unique identifier of the transaction/session during which the error occurred.it's usually a technical transaction/session identifier (GUID-like or LUW ID),
,,
,,
 SM37 batch jobs,,
LA table - SapNetweaver_BatchJobs_CL ( schema names),Description,
AUTHCKMAN_s,Logical SAP system client where the background job is defined/executed,
ENDDATE_s,Actual date when the job execution finished,
ENDTIME_s,"Actual time when the job execution finished (to Calculated the total time the job ran - 
(ENDTIME_s-STRTTIME_s) this would be duration of the job run)",
EVENTID_s,Event name that can trigger the job execution,
EVENTPARM_s,Additional parameter associated with the triggering event,
,Application server where the job step was actually executed,
JOBCLASS_s,"Job priority class (A = High,  B = Medium,  C = Low)",
JOBCOUNT_s,Unique technical identifier for a specific job run (job instance),
JOBNAME_s,Name of the background job,
LASTCHDATE_s,Date when the job definition was last changed,
LASTCHNAME_s,User who last modified the job definition,
